lead_time,NWM_CC,Corrected_CC,NWM_RMSE,Corrected_RMSE,NWM_PBIAS,Corrected_PBIAS,NWM_NSE,Corrected_NSE
1,0.041032005860052664,0.01473000581435791,8.582557217663663,4.19428143407175,78791.20257352901,93.09103435185878,-3037112.55427614,-725340.8759998718
2,0.028506634123630397,0.019465638251308225,17.529110077050078,6.827321475794995,170142.94079991343,-1580.93650470881,-12669145.310889214,-1921888.0870650504
3,0.021061334494095595,0.010644876987702475,29.377567087252224,10.425154219113299,296492.91894890537,5427.015359087071,-35584367.95444492,-4481181.089896837
4,0.01647915700381914,-0.0054862983347725115,42.815927103739256,14.666354186358427,446620.64314237516,-8357.54718419181,-75585469.33185807,-8868943.818349145
5,0.013584006029155623,0.002421193694323253,56.11828499785222,18.277011753504027,601238.2364581304,-21297.444739182403,-129848337.15673567,-13773298.69250203
6,0.00981012880624495,-0.0001315267442702034,67.31530106863862,20.9711519028137,739784.612710848,5178.999021452733,-186833692.82658744,-18133104.453431882
7,0.008120527247249378,-0.004090557585969839,76.16767653284765,23.212540274432218,852518.6770388247,-30069.87166422341,-239204325.6352719,-22216361.63110388
8,0.008039359461232192,0.01301457695005554,83.17219420445696,24.531936420183577,938995.4689632162,18258.467742107434,-285222598.0802878,-24813684.64592514
9,0.008284973036770326,0.011505799447108764,88.12360591302924,26.864303707404108,1000157.7838728286,12809.210926236785,-320193221.0849708,-29756289.669094253
10,0.008499111071022762,0.00679869847960862,91.43074875794045,27.169840040569337,1041218.8412604192,-4965.792103491324,-344676890.74514765,-30436994.372103825
11,0.008478845355072104,0.013097808801521636,93.60294042544004,27.55616260635878,1068030.518056843,15843.972021850492,-361248953.3921382,-31308703.149607547
12,0.007942614579413981,0.00482687593171135,94.98808050440235,27.441583040226707,1085080.249342354,18311.87965319405,-372019613.53606874,-31048878.902975276
13,0.007349846625700526,0.0060341603759806245,95.85408149176637,27.972154381469874,1095730.2682850752,6663.974902696669,-378833899.11224246,-32261119.55973568
14,0.006853265143791017,-0.010647743101135618,96.39023266651873,28.572154807952277,1102310.2170414268,14238.173140007555,-383083698.0238119,-33659959.6701963
15,0.006446805856542695,0.00842643175222693,96.72099754658551,29.263053353548333,1106351.8998460316,-1606.4994338380027,-385717326.6644456,-35307492.952378325
16,0.006107968382194312,0.0035149646450876623,96.92528808943702,28.46798409574936,1108824.5932919658,3552.162202298955,-387348443.418904,-33414966.58716375
17,0.00581595693884025,0.0006156013175763862,97.05316759687666,27.977160116076767,1110343.4355196257,20596.158635861502,-388371223.04307365,-32272667.11915152
18,0.00555832376546619,-0.008758732011969446,97.13362101498005,28.733498997337648,1111275.2044047709,-26134.03356667849,-389015380.13827056,-34041182.07478242
