lead_time,NWM_CC,Corrected_CC,NWM_RMSE,Corrected_RMSE,NWM_PBIAS,Corrected_PBIAS,NWM_NSE,Corrected_NSE
1,0.9952885991559886,0.32467993460370337,20.644789858810327,8.857785072041592,3284.040160501007,-21.518584366054615,-1897.3105219752981,-348.45929643830493
2,0.9931587824823696,0.29538232692377214,20.308050481952836,8.84533193300183,3229.69973685301,-37.85581373898283,-1835.888479515121,-347.47737916814685
3,0.9902658879943961,0.25606146290304,19.877372280642096,8.828884254160203,3159.4725930258296,-60.116276325209036,-1758.8038562976258,-346.1826137182066
4,0.9869387736469216,0.25220417963771224,19.349681419234194,8.446584805510994,3072.5170137711234,-46.917765886509734,-1666.6079612512838,-316.7668694315204
5,0.9835991586901991,0.24485745843315188,18.729568339131404,8.168648885555314,2970.328799411912,-43.73473413302704,-1561.4346379530732,-296.19861416402256
6,0.9805395744619881,0.22921670303636157,18.03252465992181,7.861095894222587,2856.245985076896,-43.382195554377894,-1447.3028700587952,-274.24060889712734
7,0.9777796037172005,0.24189721734474032,17.2710366057303,7.302647863023035,2733.496543502405,-28.781080764232925,-1327.5659910741413,-236.5237494916136
8,0.9755129123524655,0.23464628676003774,16.468908354648846,7.133927725902935,2606.235592053857,-29.132431837977066,-1207.0250704370512,-225.67505621615345
9,0.9735028035813316,0.23094072156225415,15.65912481061694,6.689331897811269,2478.669610546445,-31.792938612341715,-1091.1474927126208,-198.30207056400585
10,0.971654891499487,0.2359572240046033,14.878818377951129,6.352355949018463,2354.4243686489335,-26.877009754715747,-985.0142846499493,-178.72809563597602
11,0.9701183705344988,0.2501020288504888,14.147258417615124,6.010626900943739,2236.1539423374174,-17.477567925038564,-890.4374903514031,-159.9110479559226
12,0.9690051689715498,0.23238661128361618,13.482421558820583,6.006129367508621,2126.0690133787157,-29.08724753669064,-808.6216745198592,-159.67033028372663
13,0.9682421588311869,0.22805721563373446,12.898021860470502,5.708217115768764,2025.6234535654187,-33.21466998300996,-739.9562046817326,-144.12668949726313
14,0.9674138409789934,0.22607564863935883,12.398990599005254,5.664498015093664,1934.8141182577458,-42.744370097484854,-683.7294122574882,-141.91215881224971
15,0.9663245025921694,0.2425467950443506,11.96694694124992,5.577141485291674,1852.4921657219681,-32.8209449527939,-636.8419116697752,-137.53823363545357
16,0.9656235423061655,0.23120430207640105,11.60457803104838,5.631581130847446,1779.136629418226,-44.884274719558384,-598.7980203816159,-140.25603512584894
17,0.9647357694931602,0.2654816335518218,11.307630034598226,5.430277367905401,1714.2684758863795,-27.482421985353568,-568.4944593982611,-130.3379846619226
18,0.9636922689521062,0.26373397944419175,11.060868176016967,5.293539829292304,1656.651861692062,-33.732690347238375,-543.90997063285,-123.80692754378718
